epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.51717,0.59833,3.85006,0.95721,0.79424,0.33088,0.16262,0.15311,0.42813,3.17849,0.77212,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05
2,9.81152,0.62207,3.87191,0.96967,0.81141,0.25687,0.22652,0.21496,0.40951,3.13723,0.77312,0.00038201,0.000127337,0.00038201,0.000127337,0.00038201,0.000127337,0.00038201,0.000127337
3,13.7361,0.55678,3.63384,0.92023,0.80143,0.33333,0.25759,0.2458,0.3745,2.98234,0.76562,0.000588296,0.000196099,0.000588296,0.000196099,0.000588296,0.000196099,0.000588296,0.000196099
4,17.7312,0.5042,2.92236,0.94349,0.21515,0.53921,0.48496,0.46214,0.2932,2.68985,0.74892,0.000790338,0.000263446,0.000790338,0.000263446,0.000790338,0.000263446,0.000790338,0.000263446
5,21.7171,0.42116,2.17211,0.854,0.31209,0.8,0.67041,0.64321,0.27996,2.34107,0.73462,0.000988136,0.000329379,0.000988136,0.000329379,0.000988136,0.000329379,0.000988136,0.000329379
6,25.4169,0.35718,1.48047,0.8142,0.42373,0.73333,0.72007,0.70024,0.28357,2.46741,0.73501,0.00118169,0.000393897,0.00118169,0.000393897,0.00118169,0.000393897,0.00118169,0.000393897
7,29.2922,0.38265,1.43768,0.81907,0.45996,0.84587,0.77742,0.75229,0.29232,1.60043,0.73489,0.001371,0.000457,0.001371,0.000457,0.001371,0.000457,0.001371,0.000457
8,33.0853,0.38866,1.07778,0.84208,0.73122,0.86667,0.7392,0.71479,0.30875,1.22106,0.73362,0.00155607,0.000518688,0.00155607,0.000518688,0.00155607,0.000518688,0.00155607,0.000518688
9,36.4512,0.40172,0.93967,0.83023,0.74487,0.71214,0.75069,0.70806,0.3085,1.17771,0.7319,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962,0.00173689,0.000578962
10,40.0172,0.43218,0.8053,0.81657,0.80579,0.91851,0.93574,0.89031,0.31616,0.77775,0.73127,0.00191346,0.000637821,0.00191346,0.000637821,0.00191346,0.000637821,0.00191346,0.000637821
11,43.7134,0.38986,0.70277,0.83458,0.87051,0.93333,0.96167,0.9222,0.29956,0.62786,0.73114,0.0020858,0.000695266,0.0020858,0.000695266,0.0020858,0.000695266,0.0020858,0.000695266
12,47.3859,0.36223,0.62466,0.81117,0.91471,0.81787,0.98389,0.93172,0.31655,0.67066,0.7322,0.00225389,0.000751295,0.00225389,0.000751295,0.00225389,0.000751295,0.00225389,0.000751295
13,51.4642,0.39213,0.64591,0.84836,0.94537,0.92575,0.98389,0.94363,0.30108,0.43494,0.73296,0.00241773,0.00080591,0.00241773,0.00080591,0.00241773,0.00080591,0.00241773,0.00080591
14,55.0003,0.34456,0.53596,0.84553,0.94537,0.92575,0.98389,0.94363,0.30108,0.43494,0.73296,0.00257733,0.000859111,0.00257733,0.000859111,0.00257733,0.000859111,0.00257733,0.000859111
15,58.8979,0.36302,0.50425,0.80054,0.98592,0.93942,0.995,0.94622,0.30825,0.38896,0.73063,0.00273269,0.000910896,0.00273269,0.000910896,0.00273269,0.000910896,0.00273269,0.000910896
16,65.3824,0.33546,0.48429,0.82521,0.96177,0.99248,0.995,0.9492,0.32163,0.3663,0.72884,0.0028838,0.000961267,0.0028838,0.000961267,0.0028838,0.000961267,0.0028838,0.000961267
17,69.0962,0.38357,0.43819,0.82454,0.97719,0.93909,0.995,0.95118,0.33577,0.31924,0.72964,0.00303067,0.00101022,0.00303067,0.00101022,0.00303067,0.00101022,0.00303067,0.00101022
18,72.6106,0.38421,0.48023,0.80775,0.97719,0.93909,0.995,0.95118,0.33577,0.31924,0.72964,0.00317329,0.00105776,0.00317329,0.00105776,0.00317329,0.00105776,0.00317329,0.00105776
19,76.3446,0.38122,0.4707,0.83179,0.98299,1,0.995,0.96573,0.33281,0.27167,0.73239,0.00331167,0.00110389,0.00331167,0.00110389,0.00331167,0.00110389,0.00331167,0.00110389
20,80.0582,0.35266,0.39297,0.80191,0.98358,1,0.995,0.95585,0.2988,0.20849,0.72826,0.00344581,0.0011486,0.00344581,0.0011486,0.00344581,0.0011486,0.00344581,0.0011486
21,83.3387,0.34851,0.3986,0.79986,0.98358,1,0.995,0.95585,0.2988,0.20849,0.72826,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,86.6936,0.3619,0.42292,0.82568,0.97038,1,0.995,0.95251,0.33191,0.25731,0.73466,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,90.0859,0.33879,0.43246,0.79271,0.98713,1,0.995,0.96401,0.31547,0.24764,0.73034,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,93.2641,0.37998,0.43515,0.81042,0.98713,1,0.995,0.96401,0.31547,0.24764,0.73034,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,96.6485,0.38315,0.37586,0.83468,0.98528,1,0.995,0.94052,0.32822,0.20125,0.73836,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,99.8636,0.33248,0.35361,0.83599,0.98528,1,0.995,0.94052,0.32822,0.20125,0.73836,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,103.345,0.32259,0.3204,0.82283,0.98608,1,0.995,0.94988,0.32319,0.16967,0.73132,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,106.838,0.37728,0.37031,0.82501,0.98762,1,0.995,0.95109,0.32917,0.2098,0.73624,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,110.06,0.35591,0.35617,0.82158,0.98762,1,0.995,0.95109,0.32917,0.2098,0.73624,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,113.44,0.36216,0.33029,0.8334,0.98796,1,0.995,0.96401,0.31694,0.1745,0.7326,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,116.802,0.35045,0.33501,0.80372,0.98735,1,0.995,0.97065,0.30034,0.17987,0.73024,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,120.33,0.37067,0.32842,0.80872,0.98735,1,0.995,0.97065,0.30034,0.17987,0.73024,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,124.133,0.31339,0.28878,0.80928,0.98564,1,0.995,0.96272,0.3102,0.17421,0.73165,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,127.532,0.36415,0.31435,0.84334,0.98564,1,0.995,0.96272,0.3102,0.17421,0.73165,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,131.935,0.35428,0.3561,0.80765,0.98925,1,0.995,0.96277,0.31025,0.18455,0.73438,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
